TILE_ID,NUMBER,ra,dec,CLASS_STAR,uJAVA,J0378,J0395,J0410,J0430,gSDSS,J0515,rSDSS,J0660,iSDSS,J0861,zSDSS,StellarLoMaR,isTrain,isSimbad,High_confidence,teff_lasp,logg_lasp,feh_lasp
90370,1966,147.1076153,39.62979896,0.953,16.7118721,16.456295,16.3632145,15.6078825,15.4960461,14.9446783,14.7904243,14.3399143,14.2557373,14.1114111,14.0466843,14.0021152,0.629882813,0,0,0,,,
90370,3205,147.714789,39.73190125,0.997,14.562665,14.3512259,14.1902161,13.4781666,13.3692589,12.846117,12.6869459,12.2624941,12.1886845,12.064414,12.0037804,11.9697514,0.916503906,0,0,0,,,
90370,3326,147.681183,39.75645941,0.969,17.3887939,16.9804878,17.0379791,16.3644485,16.2796841,15.7578192,15.5762835,15.1548939,15.0694818,14.9056101,14.8372126,14.7961063,0.883300781,0,0,0,,,
90370,4195,147.254018,39.82565245,1,16.1910782,15.8551064,15.8892546,15.2287388,15.1569042,14.6785269,14.527812,14.141119,14.0645199,13.9346581,13.8804502,13.8407383,0.928222656,0,0,0,,,
90370,7100,147.2051051,40.27900259,0.966,14.7902145,14.5598698,14.4811544,13.8097858,13.7418079,13.2477798,13.0916948,12.702774,12.6232595,12.5049734,12.4495525,12.4240351,0.812011719,1,0,0,5249.14,3.641,-0.551
90370,7909,147.970631,40.20698168,0.938,15.950942,15.7357006,15.5742645,14.8842916,14.7618294,14.2233438,14.0520258,13.627203,13.5479116,13.426753,13.3598061,13.3288403,0.8984375,0,0,0,5154.9,3.405,-0.528
90370,8507,146.8256555,40.16131397,0.981,17.8774281,17.6756897,17.4619713,16.7365913,16.568718,15.9541483,15.8246651,15.2297316,15.0947523,14.9132032,14.8084393,14.7692747,0.617675781,0,0,0,,,
90370,8737,147.7658528,40.14111531,0.992,16.8382759,16.4128838,16.2494831,15.1056013,14.686594,13.7618198,13.4815569,12.6825409,12.5195074,12.224061,12.0514307,11.9842625,0.989257813,0,0,1,,,
90370,9321,148.1725349,40.09866856,0.967,16.9072304,16.5917702,16.5545559,15.696517,15.5865431,14.9531908,14.7734947,14.2590675,14.1517849,13.9892731,13.8915033,13.8519621,0.970703125,0,0,1,,,
90370,11612,147.2020975,40.73249293,0.999,16.2297039,16.0275269,15.6962566,14.770153,14.4231329,13.4999809,13.4671288,12.3659563,12.1617298,11.9172363,11.7632818,11.7105818,0.952636719,0,0,0,,,
90370,13402,147.3114152,40.5849554,0.976,17.4718933,17.1779594,17.1100254,16.3490314,16.1973,15.6505365,15.5004711,15.0061245,14.9211864,14.7717075,14.7046347,14.6740675,0.605957031,0,0,0,,,
90370,13570,146.6624432,40.56836461,0.999,17.3107872,17.063282,16.9766178,16.2354412,16.0899277,15.5343266,15.3790665,14.9252844,14.8236275,14.6841679,14.5979309,14.5741806,0.729003906,0,0,0,,,
90370,16092,146.5365923,40.37678604,0.982,16.4324245,16.2124004,16.0303497,15.1675463,14.9527397,14.3255291,14.139554,13.5939999,13.4843397,13.3195629,13.2218981,13.1825132,0.984375,0,0,1,,,
90370,16208,147.5465017,40.37255106,0.986,14.4369898,14.2518444,14.0233774,13.3265276,13.199276,12.6776466,12.5061588,12.1011429,12.0229683,11.9072828,11.8564148,11.8314896,0.864257813,1,0,0,5124.64,3.21,-0.259
90382,2764,149.8771876,39.65842125,0.942,17.8288803,17.5732231,17.4036484,16.5307922,16.352211,15.789999,15.6240568,15.120615,15.0254698,14.880187,14.8237915,14.7785435,0.723144531,0,0,0,,,
90382,3107,148.530442,39.68325269,1,17.3577995,17.0170097,17.0094299,16.2688179,16.2029991,15.6573315,15.4798164,15.0416431,14.9597378,14.7849751,14.7062941,14.6725388,0.880859375,0,0,0,,,
90382,3974,150.0614159,39.74038629,1,16.9730988,16.5501251,16.5786171,16.1030579,16.0066032,15.6353664,15.4549284,15.1192617,15.0592813,14.9006987,14.8486204,14.8058643,0.823730469,0,0,0,5072.79,2.385,-1.714
